VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
  55,  55,  68,4095,4095,1459,1438,1300,2118,1434,1017,
  55,  55,  69,4095,4095,1460,1438,1298,2116,1392,1015,
  55,  56,  69,4095,4095,1460,1437,1298,2116,1432,1017,
  55,  57,  69,4095,4095,1458,1439,1299,2114,1438,1016,
  56,  56,  70,4095,4095,1459,1439,1296,2115,1421,1017,
  56,  56,  68,4095,4095,1460,1438,1298,2115,1447,1017,
  56,  56,  68,4095,4095,1459,1438,1297,2115,1436,1017,
  56,  55,  69,4095,4095,1460,1438,1299,2115,1438,1016,
  56,  56,  67,4095,4095,1459,1438,1298,2116,1435,1018,
  57,  56,  69,4095,4095,1460,1438,1301,2116,1427,1015,
  55,  55,  69,4095,4095,1457,1439,1298,2116,1438,1017,
  56,  56,  69,4095,4095,1461,1438,1299,2114,1439,1015,
  55,  56,  68,4095,4095,1459,1437,1300,2115,1436,1016,
  57,  55,  70,4095,4095,1460,1438,1299,2117,1453,1017,
  56,  56,  68,4095,4095,1458,1438,1296,2119,1431,1017,
  56,  57,  67,4095,4095,1459,1437,1296,2117,1438,1017,
  57,  56,  67,4095,4095,1459,1437,1300,2117,1421,1017,
  57,  55,  68,4095,4095,1458,1439,1297,2120,1439,1016,
  57,  55,  70,4095,4095,1458,1438,1298,2117,1444,1017,
  56,  57,  69,4095,4095,1459,1441,1300,2115,1429,1017,
  57,  55,  69,4095,4095,1459,1437,1297,2117,1439,1016,
  55,  57,  69,4095,4095,1458,1437,1297,2117,1431,1015,
  57,  56,  69,4095,4095,1459,1439,1296,2117,1440,1017,
  57,  57,  69,4095,4095,1459,1437,1299,2116,1430,1017,
  56,  55,  69,4095,4095,1458,1437,1300,2119,1430,1018,
  55,  56,  69,4095,4095,1459,1439,1301,2118,1440,1017,
  56,  57,  69,4095,4095,1459,1438,1298,2115,1444,1018,
  57,  56,  70,4095,4095,1458,1440,1299,2114,1437,1018,
  56,  57,  69,4095,4095,1459,1438,1299,2115,1439,1018,
  56,  55,  69,4095,4095,1460,1438,1297,2117,1432,1017,
  57,  56,  68,4095,4095,1459,1437,1296,2118,1433,1016,
  57,  56,  68,4095,4095,1458,1439,1300,2118,1429,1017,
  56,  56,  68,4095,4095,1456,1438,1297,2119,1439,1017,
  56,  56,  68,4095,4095,1459,1438,1297,2118,1441,1015,
  56,  57,  69,4095,4095,1460,1438,1297,2118,1439,1015,
  57,  56,  69,4095,4095,1458,1439,1297,2118,1438,1017,
  56,  56,  69,4095,4095,1459,1437,1300,2117,1435,1017,
  57,  55,  69,4095,4095,1458,1438,1297,2118,1429,1017,
  56,  55,  67,4095,4095,1457,1439,1298,2118,1424,1016,
  55,  55,  68,4095,4095,1460,1437,1298,2115,1439,1016,
  56,  55,  68,4095,4095,1457,1439,1299,2120,1441,1016,
