VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
  56,2477,2702,4095,4095,1465,1444,1300,2118,1431,1021,
  56,2473,2702,4095,4095,1463,1445,1299,2115,1432,1021,
  55,2455,2690,4095,4095,1462,1445,1295,2118,1427,1021,
  57,2472,2702,4095,4095,1463,1444,1297,2117,1429,1021,
  57,2479,2706,4095,4095,1464,1445,1298,2117,1433,1021,
  56,2481,2708,4095,4095,1462,1446,1300,2117,1431,1022,
  55,2469,2697,4095,4095,1462,1443,1299,2115,1428,1021,
  57,2480,2704,4095,4095,1463,1445,1297,2116,1432,1020,
  55,2482,2707,4095,4095,1462,1443,1298,2118,1431,1021,
  55,2484,2709,4095,4095,1462,1446,1295,2118,1431,1019,
  56,2472,2700,4095,4095,1462,1445,1299,2117,1430,1021,
  53,2487,2712,4095,4095,1462,1445,1297,2117,1434,1021,
  61,2492,2713,4095,4095,1464,1445,1297,2118,1429,1021,
  57,2489,2712,4095,4095,1462,1445,1297,2118,1433,1022,
  57,2464,2693,4095,4095,1461,1445,1299,2116,1408,1020,
  47,2485,2708,4095,4095,1463,1445,1297,2117,1433,1021,
  55,2490,2713,4095,4095,1462,1445,1298,2118,1435,1021,
  55,2487,2711,4095,4095,1462,1444,1298,2116,1429,1020,
  60,2443,2683,4095,4095,1462,1445,1300,2117,1425,1022,
  55,2465,2698,4095,4095,1461,1446,1298,2115,1429,1021,
  58,2491,2713,4095,4095,1463,1444,1298,2120,1433,1021,
  57,2495,2715,4095,4095,1461,1445,1295,2118,1436,1020,
  60,2457,2692,4095,4095,1461,1445,1297,2114,1429,1021,
  59,2485,2708,4095,4095,1462,1444,1299,2117,1433,1021,
  53,2486,2710,4095,4095,1462,1445,1298,2116,1433,1019,
1757,2478,2706,4095,4095,1462,1443,1297,2118,1433,1020,
1757,2478,2707,4095,4095,1461,1445,1295,2120,1433,1021,
1762,2482,2708,4095,4095,1461,1445,1297,2118,1421,1021,
1763,2481,2707,4095,4095,1463,1445,1300,2115,1433,1019,
1771,2486,2709,4095,4095,1462,1444,1299,2115,1434,1021,
1653,2428,2666,4095,4095,1463,1444,1300,2116,1428,1020,
1716,2459,2692,4095,4095,1462,1446,1300,2118,1429,1019,
1774,2489,2705,4095,4095,1463,1443,1298,2115,1430,1019,
1717,2460,2694,4095,4095,1462,1445,1298,2114,1431,1020,
1772,2487,2710,4095,4095,1462,1445,1297,2116,1435,1021,
1757,2478,2706,4095,4095,1465,1444,1296,2117,1407,1021,
1763,2483,2709,4095,4095,1463,1443,1299,2117,1434,1021,
1770,2486,2709,4095,4095,1463,1445,1298,2116,1433,1021,
1740,2467,2695,4095,4095,1462,1445,1298,2120,1433,1021,
1690,2446,2685,4095,4095,1462,1444,1294,2116,1427,1020,
1774,2488,2711,4095,4095,1462,1444,1295,2117,1425,1021,
1777,2489,2711,4095,4095,1463,1444,1298,2116,1435,1021,
1705,2453,2712,4095,4095,1462,1445,1299,2117,1433,1021,
1745,2474,2702,4095,4095,1463,1444,1301,2117,1434,1019,
1767,2484,2707,4095,4095,1462,1444,1298,2116,1435,1020,
1777,2489,2712,4095,4095,1463,1443,1300,2115,1429,1020,
1749,2472,2699,4095,4095,1462,1444,1300,2117,1435,1021,
1767,2486,2710,4095,4095,1461,1446,1299,2115,1413,1019,
1770,2487,2711,4095,4095,1462,1444,1298,2117,1434,1019,
1780,2491,2711,4095,4095,1462,1445,1298,2118,1437,1021,
1651,2426,2672,4095,4095,1462,1445,1299,2115,1413,1019,
1739,2470,2699,4095,4095,1462,1445,1298,2117,1433,1020,
1778,2490,2713,4095,4095,1461,1445,1295,2116,1429,1020,
1781,2491,2713,4095,4095,1462,1443,1300,2116,1436,1019,
1779,2492,2711,4095,4095,1464,1444,1295,2116,1437,1019,
1765,2482,2708,4095,4095,1462,1444,1299,2115,1436,1021,
1773,2487,2711,4095,4095,1462,1446,1299,2117,1435,1022,
1772,2485,2711,4095,4095,1463,1444,1301,2116,1430,1019,
1648,2426,2672,4095,4095,1461,1443,1298,2116,1417,1021,
1682,2443,2682,4095,4095,1461,1444,1300,2118,1428,1020,
1772,2486,2711,4095,4095,1463,1445,1299,2114,1436,1020,
