VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
3220,3223,3171,4095,4095,1472,1453,1283,2118,1454,1026,
3221,3224,3171,4095,4095,1471,1451,1288,2117,1455,1027,
3219,3222,3171,4095,4095,1471,1451,1282,2116,1452,1025,
3221,3223,3173,4095,4095,1471,1453,1281,2117,1453,1027,
3221,3224,3171,4095,4095,1471,1451,1287,2118,1454,1026,
3220,3224,3171,4095,4095,1471,1453,1286,2119,1453,1026,
3219,3224,3173,4095,4095,1470,1451,1285,2120,1453,1027,
3215,3219,3168,4095,4095,1473,1452,1280,2118,1451,1027,
3219,3225,3174,4095,4095,1470,1452,1286,2114,1452,1027,
3220,3226,3173,4095,4095,1471,1452,1285,2117,1455,1028,
3216,3220,3169,4095,4095,1471,1451,1280,2119,1449,1025,
3218,3222,3171,4095,4095,1470,1450,1282,2117,1451,1026,
3217,3221,3169,4095,4095,1472,1453,1283,2117,1452,1027,
3173,3178,3126,4095,4095,1471,1450,1216,2118,1423,1025,
3173,3176,3125,4095,4095,1473,1452,1217,2115,1422,1027,
3168,3174,3122,4095,4095,1469,1452,1213,2118,1415,1025,
3172,3174,3123,4095,4095,1470,1453,1215,2117,1424,1027,
3159,3160,3108,4095,4095,1471,1452,1214,2117,1420,1027,
3169,3175,3124,4095,4095,1471,1452,1215,2117,1421,1026,
3170,3175,3125,4095,4095,1470,1451,1217,2116,1423,1028,
3172,3176,3124,4095,4095,1471,1452,1217,2115,1421,1026,
3164,3170,3113,4095,4095,1470,1452,1199,2116,1417,1027,
3169,3174,3120,4095,4095,1471,1452,1211,2116,1419,1027,
3174,3177,3126,4095,4095,1471,1450,1219,2115,1423,1027,
3175,3180,3126,4095,4095,1471,1453,1220,2118,1425,1025,
3176,3178,3127,4095,4095,1471,1451,1216,2117,1424,1025,
3175,3179,3128,4095,4095,1471,1452,1223,2114,1424,1026,
3177,3179,3129,4095,4095,1472,1451,1222,2118,1424,1026,
3175,3176,3119,4095,4095,1471,1451,1200,2118,1417,1027,
3175,3180,3126,4095,4095,1473,1451,1221,2114,1423,1028,
3176,3179,3129,4095,4095,1472,1451,1219,2117,1424,1026,
3176,3180,3127,4095,4095,1472,1450,1224,2115,1424,1027,
3175,3180,3130,4095,4095,1471,1451,1225,2116,1425,1027,
3162,3165,3115,4095,4095,1469,1450,1173,2120,1409,1026,
3176,3180,3129,4095,4095,1470,1451,1224,2115,1425,1026,
3175,3180,3127,4095,4095,1470,1451,1221,2117,1425,1025,
3174,3179,3129,4095,4095,1472,1451,1222,2116,1426,1025,
3158,3163,3113,4095,4095,1473,1452,1208,2117,1417,1026,
3174,3179,3129,4095,4095,1472,1451,1217,2117,1423,1025,
3175,3180,3129,4095,4095,1473,1451,1221,2118,1424,1028,
3175,3179,3129,4095,4095,1473,1450,1224,2117,1424,1026,
3170,3175,3124,4095,4095,1469,1453,1211,2118,1423,1025,
3173,3178,3125,4095,4095,1471,1451,1220,2117,1425,1026,
3177,3181,3126,4095,4095,1471,1452,1218,2115,1423,1027,
3174,3179,3128,4095,4095,1472,1452,1224,2116,1425,1026,
3177,3180,3127,4095,4095,1472,1451,1223,2117,1425,1028,
3174,3179,3128,4095,4095,1471,1450,1217,2117,1421,1026,
3176,3179,3127,4095,4095,1473,1452,1225,2117,1423,1025,
3173,3178,3128,4095,4095,1471,1451,1223,2117,1424,1024,
3175,3179,3129,4095,4095,1470,1451,1224,2117,1425,1027,
3175,3179,3125,4095,4095,1470,1452,1221,2117,1423,1027,
3174,3179,3126,4095,4095,1471,1449,1217,2115,1423,1027,
3173,3179,3127,4095,4095,1470,1452,1218,2116,1425,1025,
3177,3180,3127,4095,4095,1472,1450,1224,2117,1426,1026,
3174,3178,3127,4095,4095,1469,1451,1218,2113,1422,1027,
3176,3179,3127,4095,4095,1472,1451,1220,2116,1425,1026,
3159,3164,3113,4095,4095,1471,1449,1195,2117,1415,1025,
3175,3180,3127,4095,4095,1473,1450,1222,2117,1426,1026,
3175,3180,3127,4095,4095,1472,1451,1224,2116,1424,1026,
3175,3179,3128,4095,4095,1472,1450,1222,2114,1424,1027,
3207,3213,3161,4095,4095,1473,1451,1262,2120,1443,1025,
3219,3218,3167,4095,4095,1470,1452,1279,2117,1449,1025,
3219,3224,3171,4095,4095,1470,1449,1288,2115,1453,1025,
3220,3225,3172,4095,4095,1469,1451,1289,2116,1454,1027,
3214,3219,3167,4095,4095,1471,1451,1278,2115,1451,1027,
3220,3222,3171,4095,4095,1470,1451,1284,2119,1453,1026,
3219,3224,3169,4095,4095,1470,1450,1284,2118,1453,1025,
3219,3223,3171,4095,4095,1471,1449,1284,2118,1455,1026,
3206,3211,3160,4095,4095,1472,1451,1270,2115,1442,1025,
3219,3224,3172,4095,4095,1471,1450,1287,2115,1451,1026,
3221,3224,3173,4095,4095,1471,1450,1287,2115,1454,1025,
3219,3223,3171,4095,4095,1470,1451,1285,2118,1452,1025,
3219,3225,3172,4095,4095,1472,1450,1286,2118,1455,1026,
3219,3224,3173,4095,4095,1471,1450,1289,2115,1455,1027,
3217,3222,3171,4095,4095,1471,1451,1288,2117,1452,1026,
3218,3223,3171,4095,4095,1469,1449,1285,2115,1454,1026,
1852,2548,2730,4095,4095,1471,1450,1296,2117,1438,1025,
1751,2497,2696,4095,4095,1471,1450,1295,2118,1417,1026,
1830,2538,2721,4095,4095,1471,1450,1294,2116,1437,1026,
1855,2550,2731,4095,4095,1471,1450,1296,2120,1432,1025,
1751,2495,2694,4095,4095,1473,1450,1297,2116,1411,1024,
1789,2517,2709,4095,4095,1470,1449,1297,2115,1431,1025,
1851,2549,2730,4095,4095,1470,1450,1296,2116,1439,1026,
1847,2545,2727,4095,4095,1472,1449,1299,2116,1437,1025,
1839,2543,2726,4095,4095,1471,1450,1294,2115,1436,1028,
1844,2545,2728,4095,4095,1471,1450,1297,2115,1438,1026,
1723,2484,2689,4095,4095,1471,1449,1297,2118,1434,1026,
1827,2537,2722,4095,4095,1471,1451,1301,2117,1436,1026,
1775,2511,2705,4095,4095,1469,1450,1295,2117,1427,1026,
1810,2525,2712,4095,4095,1471,1449,1294,2118,1409,1026,
1759,2491,2693,4095,4095,1471,1451,1296,2116,1426,1026,
1847,2547,2718,4095,4095,1470,1450,1300,2118,1431,1026,
1843,2543,2727,4095,4095,1471,1449,1297,2116,1437,1025,
1766,2503,2700,4095,4095,1470,1452,1296,2118,1411,1025,
1825,2536,2720,4095,4095,1469,1451,1296,2116,1434,1025,
1841,2542,2725,4095,4095,1470,1450,1297,2118,1438,1025,
1753,2500,2699,4095,4095,1469,1450,1295,2117,1433,1027,
1816,2532,2719,4095,4095,1470,1450,1298,2120,1436,1026,
1831,2538,2724,4095,4095,1470,1450,1296,2118,1435,1025,
1839,2542,2728,4095,4095,1469,1450,1295,2117,1439,1025,
1747,2497,2697,4095,4095,1469,1450,1298,2120,1428,1025,
1839,2545,2727,4095,4095,1469,1450,1296,2117,1439,1025,
1841,2543,2728,4095,4095,1471,1451,1295,2119,1439,1025,
