Latency[ms]
0.356013
0.425494
0.280070
10.155706
0.271273
0.241793
0.229534
0.236219
0.366846
0.343625
0.246126
0.290848
0.243497
0.265830
0.238774
0.232145
0.231848
0.638083
4.293086
0.720434
0.263070
3.508468
0.296996
0.277441
2.337262
0.288755
0.252571
0.240867
0.256663
1.360702
0.372273
0.267996
1.507923
0.271145
1.086799
0.344051
0.328607
0.385125
0.303366
0.289533
1.057429
0.374920
0.235997
0.221386
6.913678
0.692416
0.308847
0.533382
0.250070
0.963097
0.256237
1.113095
3.087289
0.447938
2.815145
0.373921
0.234497
0.696638
0.336939
0.237590
0.240238
0.655009
9.688361
6.963734
0.273237
0.238145
2.920310
5.442755
0.384068
0.425846
0.389272
0.240756
0.239237
0.555363
0.877043
0.334013
0.357125
1.041133
0.450179
0.846933
0.603732
0.807544
0.260774
0.292052
2.419817
0.348291
71.737543
0.395828
0.244941
0.350755
0.250033
0.363069
0.321199
9.537993
0.281663
0.290737
0.294495
0.377346
0.286978
0.242274
0.617177
15.538555
1.297537
0.267163
0.322199
0.233626
6.781643
0.284329
0.324532
4.617156
0.611880
0.251941
0.246459
0.703083
0.289885
0.411420
2.702720
0.859099
0.610602
0.247607
0.235219
0.233052
27.320922
69.704053
0.824692
0.523696
0.466234
0.771878
6.014321
0.873043
0.644713
0.413124
0.401661
28.445351
0.317737
9.041259
0.365865
0.269181
0.284940
0.241811
0.894043
0.265329
0.238275
0.569992
0.249422
0.539455
0.265015
0.433975
0.364902
0.246700
2.376929
0.252978
0.240885
0.233108
12.710095
0.556622
0.284866
0.278533
2.243857
3.027252
0.343198
1.397369
0.728711
0.234793
0.244181
0.234404
0.268200
0.284829
1.446627
0.804211
1.193279
0.402717
0.648879
4.367418
0.276533
0.466216
1.129669
0.333180
0.250756
0.241737
0.231645
0.239867
0.236552
0.273200
0.742823
0.250534
0.342736
3.470709
0.426364
0.263700
0.243923
0.370235
3.449821
0.684231
0.640194
0.248645
0.291811
0.241682
0.369865
0.263477
0.242237
1.091096
0.615972
1.484701
1.867380
0.379402
0.273977
0.267514
0.233608
0.717397
0.373013
0.246441
1.622865
0.263625
0.231811
1.843047
0.454235
0.299496
0.408050
0.254330
26.751560
0.663990
3.863019
0.299941
0.275700
0.259126
0.249108
0.243182
0.241219
0.297181
3.378173
1.262167
0.354643
0.630214
0.240885
0.326033
0.509344
0.567177
0.499956
1.016411
36.027500
0.682453
0.256792
0.283032
0.248477
0.334439
0.255903
0.245608
0.349977
0.251256
0.828303
1.790345
5.084019
1.815511
0.342254
1.595643
0.808710
2.957939
13.418474
1.211909
38.228062
3.817131
7.801906
3.025308
6.464148
0.338421
0.890191
0.837747
1.003949
0.492512
0.299366
0.331681
0.441438
0.262774
0.491752
0.267459
0.738656
3.314526
0.495770
0.269125
0.254718
0.245793
0.316551
0.248885
0.237126
0.603843
1.329518
0.423475
0.818562
0.321829
0.341810
0.301959
0.760026
0.334384
0.321329
0.243034
0.235164
0.229052
0.234423
0.701434
0.339754
0.410290
0.241830
0.228071
0.307644
0.241978
0.239830
0.240274
0.228737
0.237163
0.225460
0.234997
0.237312
0.229941
0.230607
0.227219
0.225664
0.225701
0.222570
0.283496
0.225719
1.106521
0.474734
1.244371
1.928102
0.560862
0.247997
0.858117
0.525659
0.271922
2.695424
0.273700
0.352550
0.244775
0.242237
0.568751
0.301107
0.364736
0.718471
0.236108
0.326199
0.237793
0.242996
0.230386
0.229163
0.612491
0.269700
5.298517
0.348810
